fid,building_volume,population_density,greenhouse_coverage,road_density,light_pollution,city
1,2280.99927,16.24255,0.0,7.89102,166.0,Den Haag
2,0.0,0.0,0.0,1.7232,318.0,Den Haag
3,169397.07813,97.62423,1153.86169,9.13435,896.0,Den Haag
4,828537.125,18.13222,1153.86169,4.34828,1049.0,Den Haag
5,714646.625,23.7152,1153.86169,2.71926,531.0,Den Haag
6,872025.75,61.34774,3294.47583,12.64133,531.0,Den Haag
7,711594.9375,66.99113,3294.47583,3.35468,651.0,Den Haag
8,1390870.0,95.25751,2140.61377,7.73782,1184.0,Den Haag
9,1996850.25,189.10695,2140.61377,5.07714,1834.0,Den Haag
10,318151.25,137.25606,2140.61377,4.04087,2056.0,Den Haag
11,988355.1875,332.51923,2140.61377,39.9321,1149.0,Den Haag
12,525482.75,585.73401,0.0,46.95191,606.0,Den Haag
13,392685.40625,588.61804,362.28629,44.0696,369.0,Den Haag
14,957468.875,146.3483,362.28629,7.39684,1353.0,Den Haag
15,368893.53125,66.81655,878.56293,17.95843,3558.0,Den Haag
16,18572.53906,13.12382,1051.48743,18.93341,1950.0,Den Haag
17,781.02716,8.82794,0.0,0.78186,117.0,Den Haag
18,9934.05762,20.59214,0.0,5.60067,117.0,Den Haag
19,5.59114,4.36237,0.0,5.53734,240.0,Den Haag
20,118220.21094,109.07793,1153.86169,10.14399,423.0,Den Haag
21,333587.15625,93.38687,1153.86169,6.82312,632.0,Den Haag
22,597387.1875,61.6726,1153.86169,11.90566,614.0,Den Haag
23,667370.625,54.39322,1153.86169,3.83059,614.0,Den Haag
24,590610.625,79.95692,3294.47583,7.02689,466.0,Den Haag
25,579752.1875,27.51018,2140.61377,1.16175,938.0,Den Haag
26,514641.125,166.34393,2140.61377,7.80854,2460.0,Den Haag
27,532025.5,32.16505,2140.61377,8.03182,2989.0,Den Haag
28,679013.4375,388.51804,2542.71948,39.53104,1222.0,Den Haag
29,992781.75,510.09583,0.0,36.82597,1222.0,Den Haag
30,328611.03125,367.80829,0.0,45.52646,439.0,Den Haag
31,475097.375,113.93325,362.28629,29.04773,5181.0,Den Haag
32,521759.03125,0.82882,535.21069,14.24799,14854.0,Den Haag
33,300378.9375,29.99563,535.21069,8.95568,11815.0,Den Haag
34,518049.09375,36.9459,2803.08472,8.84564,11815.0,Den Haag
35,439678.53125,25.67502,2803.08472,5.79086,1671.0,Den Haag
36,686078.8125,31.79647,2803.08472,4.39518,1066.0,Den Haag
37,649606.8125,28.12417,2803.08472,7.2846,628.0,Den Haag
38,789437.3125,13.11981,2803.08472,6.14647,573.0,Den Haag
39,1042402.5625,88.19543,2803.08472,6.69218,573.0,Den Haag
40,468672.0625,402.11105,509.6528,38.44916,442.0,Den Haag
41,6447595.5,277.54108,1043.81409,11.73901,250.0,Den Haag
42,13428729.0,260.93094,1043.81409,12.19544,251.0,Den Haag
43,514986.78125,215.52515,534.16138,9.25352,266.0,Den Haag
44,285875.59375,284.80716,534.16138,31.75914,206.0,Den Haag
45,45759.40234,434.54916,0.0,13.53476,206.0,Den Haag
46,87537.95313,62.27782,0.0,30.03785,158.0,Den Haag
47,328107.28125,639.3338,0.0,38.18769,200.0,Den Haag
48,1800039.75,884.05969,0.0,46.36228,307.0,Den Haag
49,869324.0,463.72974,0.0,43.87776,350.0,Den Haag
50,1369819.625,379.52542,0.0,34.07159,350.0,Den Haag
51,408429.5625,1096.51929,0.0,38.47608,262.0,Den Haag
52,0.0,19.03456,0.0,17.07343,144.0,Den Haag
53,1460012.5,9.09667,2803.08472,17.05035,1950.0,Den Haag
54,3717084.0,15.94121,2803.08472,3.97002,936.0,Den Haag
55,5459891.5,47.03054,2803.08472,7.85548,571.0,Den Haag
56,2255276.75,19.05534,2803.08472,5.15716,354.0,Den Haag
57,646013.1875,64.13306,4036.10498,12.7323,376.0,Den Haag
58,1611268.125,76.27031,4545.75781,17.68095,376.0,Den Haag
59,837105.5625,68.2598,1742.67322,8.04876,390.0,Den Haag
60,595473.5,117.03435,509.6528,6.76752,317.0,Den Haag
61,1661823.375,160.02834,509.6528,5.56068,242.0,Den Haag
62,2416393.5,186.58401,1113.33569,14.6469,269.0,Den Haag
63,1953893.0,129.41339,253.5312,16.50064,269.0,Den Haag
64,300359.25,1525.09509,184.00963,19.21729,233.0,Den Haag
65,46469.69141,269.40323,0.0,33.54136,194.0,Den Haag
66,92890.53906,285.2663,0.0,27.90612,187.0,Den Haag
67,315415.96875,395.52505,0.0,50.64231,310.0,Den Haag
68,988642.5,443.19894,0.0,21.42703,335.0,Den Haag
69,424505.3125,1454.88538,0.0,35.19648,335.0,Den Haag
70,173544.625,1047.6814,0.0,33.88147,249.0,Den Haag
71,675007.375,1677.93091,0.0,36.82515,216.0,Den Haag
72,1461979.75,1836.02771,0.0,44.82026,214.0,Den Haag
73,788657.5,1498.43616,0.0,43.69516,214.0,Den Haag
74,1423295.625,1593.53992,0.0,38.39143,214.0,Den Haag
75,1034602.0,986.44739,0.0,56.02446,219.0,Den Haag
76,152802.01563,366.57281,0.0,24.23034,165.0,Den Haag
77,290307.875,1039.28918,0.0,26.16781,114.0,Den Haag
78,431765.40625,1336.65442,0.0,25.8206,76.0,Den Haag
79,6653.70996,27.83191,0.0,21.24092,76.0,Den Haag
80,2995.85767,92.49591,0.0,21.32301,43.0,Den Haag
81,2740568.75,1297.57483,0.0,43.4865,230.0,Den Haag
82,598097.8125,1445.50037,0.0,46.00853,229.0,Den Haag
83,369306.34375,1190.46289,0.0,39.89436,223.0,Den Haag
84,2376609.75,823.37494,0.0,43.91291,223.0,Den Haag
85,919001.6875,1732.14844,0.0,35.62478,212.0,Den Haag
86,384734.3125,1088.90015,0.0,28.13284,156.0,Den Haag
87,355297.65625,409.16077,0.0,25.01278,129.0,Den Haag
88,459760.90625,1759.57251,0.0,37.27435,112.0,Den Haag
89,225186.375,1167.72974,0.0,23.40754,112.0,Den Haag
90,0.0,0.0,0.0,15.41941,68.0,Den Haag
91,81851.91406,142.15158,0.0,24.75921,52.0,Den Haag
92,0.0,0.0,0.0,14.47554,46.0,Den Haag
93,0.0,30.83197,0.0,13.71319,34.0,Den Haag
94,55153.49219,21.82164,2803.08472,9.20699,9196.0,Den Haag
95,733727.0625,44.40476,2803.08472,6.50018,1642.0,Den Haag
96,633415.3125,41.09698,2803.08472,9.84754,1391.0,Den Haag
97,501032.09375,26.24617,2803.08472,3.71429,3539.0,Den Haag
98,11174344.0,16.72349,2803.08472,3.39357,765.0,Den Haag
99,574843.6875,160.66003,2803.08472,11.34551,765.0,Den Haag
100,750559.125,240.33279,2803.08472,28.55548,464.0,Den Haag
101,614032.1875,266.62433,719.48016,18.60834,287.0,Den Haag
102,5136337.0,133.62196,534.16138,5.36711,274.0,Den Haag
103,1652449.25,126.18199,534.16138,5.59154,254.0,Den Haag
104,713936.4375,142.75372,534.16138,24.01678,191.0,Den Haag
105,208758.64063,516.16461,143.44901,44.9998,191.0,Den Haag
106,519913.75,470.11023,0.0,50.74074,186.0,Den Haag
107,1124712.625,1098.42053,0.0,33.09844,211.0,Den Haag
108,597583.8125,406.58832,0.0,51.50477,260.0,Den Haag
109,466990.03125,273.72708,0.0,36.12582,307.0,Den Haag
110,752919.25,249.12347,0.0,32.99821,307.0,Den Haag
111,1312792.5,306.18335,0.0,20.18914,309.0,Den Haag
112,621755.3125,533.62671,0.0,49.60417,276.0,Den Haag
113,292781.28125,1343.20679,0.0,46.24278,246.0,Den Haag
114,1680018.125,1122.46948,0.0,49.47917,214.0,Den Haag
115,812221.6875,1379.26697,0.0,36.61882,214.0,Den Haag
116,792840.875,1314.31213,0.0,29.81851,175.0,Den Haag
117,662925.5625,1366.0719,0.0,37.43002,159.0,Den Haag
118,1453556.875,1128.80066,0.0,25.61975,172.0,Den Haag
119,717028.0,944.23108,0.0,41.90658,140.0,Den Haag
120,572482.1875,2300.9231,0.0,25.42163,140.0,Den Haag
121,210246.51563,741.00201,0.0,20.99519,109.0,Den Haag
122,105429.88281,188.96628,0.0,37.44696,165.0,Den Haag
123,391504.3125,380.13553,0.0,26.70497,171.0,Den Haag
124,951784.0625,387.02036,0.0,32.63477,178.0,Den Haag
125,533706.0625,552.05359,0.0,37.89927,154.0,Den Haag
126,159994.375,261.06049,0.0,23.35253,154.0,Den Haag
127,267.65826,5.12383,0.0,8.06669,132.0,Den Haag
128,3420.76563,9.29238,0.0,4.46665,188.0,Den Haag
129,84860.20313,96.40256,66.28394,5.92252,254.0,Den Haag
130,387959.8125,5.24683,66.28394,6.18695,389.0,Den Haag
131,8902.27734,2.94265,66.28394,5.09746,681.0,Den Haag
132,0.0,1.1072,0.0,1.73045,681.0,Den Haag
133,124651.9375,44.99344,2140.61377,6.44438,4340.0,Den Haag
134,660038.75,44.72293,2140.61377,3.1235,5828.0,Den Haag
135,300715.34375,69.46239,2542.71948,6.49459,3640.0,Den Haag
136,60417.45313,92.11209,402.10556,5.80487,2700.0,Den Haag
137,572525.0,110.91383,1430.13647,16.74668,2700.0,Den Haag
138,384940.78125,125.34055,1309.03076,18.06781,1815.0,Den Haag
139,136616.28125,104.86085,1178.22058,7.11975,2248.0,Den Haag
140,611161.1875,66.91118,1178.22058,3.77781,2448.0,Den Haag
141,827681.0,28.81946,1178.22058,6.14741,1316.0,Den Haag
142,199480.48438,7.96737,1178.22058,1.0289,1316.0,Den Haag
143,64036.01172,0.95662,2803.08472,13.45975,2535.0,Den Haag
144,504199.5,53.01765,2803.08472,5.85245,13061.0,Den Haag
145,650563.5,6.97361,2803.08472,2.88209,15352.0,Den Haag
146,771290.8125,32.94021,2803.08472,6.92994,6010.0,Den Haag
147,1573134.0,47.90668,3571.88062,18.92412,6010.0,Den Haag
148,605325.6875,61.92331,954.11456,5.76121,383.0,Den Haag
149,577915.5,49.9618,954.11456,7.71114,233.0,Den Haag
150,191076.5,117.5041,185.31882,21.89281,235.0,Den Haag
151,254510.03125,353.07813,0.0,31.34893,221.0,Den Haag
152,564951.1875,444.75439,143.44901,36.02168,207.0,Den Haag
153,419907.65625,324.15601,143.44901,13.20625,207.0,Den Haag
154,566992.375,260.57263,0.0,43.30543,224.0,Den Haag
155,489712.28125,1268.47461,0.0,54.15203,227.0,Den Haag
156,900813.875,364.3963,0.0,50.07854,217.0,Den Haag
157,105421.70313,295.93719,0.0,39.09532,222.0,Den Haag
158,756789.4375,372.80087,0.0,46.14502,222.0,Den Haag
159,749060.3125,866.3028,0.0,41.193,268.0,Den Haag
160,571044.1875,1052.38647,0.0,46.96781,312.0,Den Haag
161,559203.4375,667.10822,0.0,42.85417,308.0,Den Haag
162,1188149.875,731.1665,0.0,43.56538,262.0,Den Haag
163,1019346.8125,1044.08594,0.0,30.59223,262.0,Den Haag
164,108384.39063,566.20825,0.0,51.16828,204.0,Den Haag
165,1346754.5,1243.45508,0.0,45.00499,195.0,Den Haag
166,1965052.0,1360.22266,0.0,28.15349,207.0,Den Haag
167,1396821.375,1318.75867,0.0,25.28915,185.0,Den Haag
168,2414735.75,695.69617,0.0,46.99097,185.0,Den Haag
169,286062.21875,644.95374,0.0,18.13695,163.0,Den Haag
170,780515.125,334.84076,0.0,26.46035,167.0,Den Haag
171,686532.875,1175.95935,0.0,40.1079,225.0,Den Haag
172,5029528.0,1545.37219,0.0,35.25899,271.0,Den Haag
173,2772610.25,326.8497,0.0,23.03965,268.0,Den Haag
174,163805.9375,180.99588,0.0,25.54794,184.0,Den Haag
175,305873.09375,42.73428,1880.44019,21.87312,487.0,Den Haag
176,558221.5,77.78532,110.59705,13.57161,435.0,Den Haag
177,198985.09375,604.81915,397.14587,16.54032,443.0,Den Haag
178,156295.51563,303.43805,397.14587,28.19341,280.0,Den Haag
179,15709.86328,13.26367,397.14587,4.93125,280.0,Den Haag
180,0.0,0.0,0.0,2.96877,73.0,Den Haag
181,146135.0,132.18515,110.59705,18.17391,330.0,Den Haag
182,9101.39063,111.36789,0.0,30.93596,147.0,Den Haag
183,1361.73901,15.46038,0.0,5.26602,79.0,Den Haag
184,0.0,0.0,0.0,3.54329,79.0,Den Haag
185,148698.39063,220.08203,0.0,17.80568,135.0,Den Haag
186,29107.04297,32.19239,0.0,6.39446,135.0,Den Haag
